"","Author","Year","Study","Project.Name","Type.of.Study","Duration.of.follow.up","Country.of.collection","Date.of.collection","Sample.Size_included..N..","N_PT","N_HC","Age_Total_mean","Age_Total_sd","Age_PT_mean","Age_PT_sd","Age_HC_mean","Age_HC_sd","Onset_Age_mean","Onset_Age_sd","N_Total_Male","N_Total_Female","N_PT_Male","N_PT_.Female","N_HC_Male","N_HC_.Female","Psychosis.Measure","Psychosis.Construct","Dimensional..Diagnostic.Outcome","Trauma.Measure","Trauma.Construct","with.total.trauma.info..Y.N.","HC.Status.Measure","LogOR","LogOR_LCI","LogOR_UCI","only_subgroup_analysis","Design","CT.VS.NO.CT","adjusted.age..Y.N.","adjusted.gender..Y.N.","QA_scores","QA_Rating","compution_effect_size","Country_level","sum_gender","Age_level","Male_ratio","Q_or_Int","Adj","vi","Trauma"
"433","Morgan et al.","2020","Threat, hostility, and violence in childhood and later psychotic disorder: population-based case-control study","CAPsy","Case-control",NA,"UK","2010-2014",675,"374",301,"32.1",10.6,"28.9","8.9","35.1","12.3",NA,NA,382,293,229,145,153,148,"SCAN, ICD-10","FEP, AP","Diagnostic","CECA","CT, PA, EA, SA, BUL, AB","Y","No current or past history of psychiatric disorders",0.357674444271816,-0.0304592074847086,0.741937344729377,"N","Case-control",NA,"Y","Y",8,"Good","OR",1,"675",1,"0.565925926",1,"Adjusted",0.0388247366899343,"BL"
"434","Kelleher et al.","2013","Childhood Trauma and Psychosis in a Prospective Cohort Study: Cause, Effect, and Directionality","SEYLE","Cohort study","1 year","Multiple countries",NA,1112,NA,NA,"13.73",NA,NA,NA,NA,NA,NA,NA,616,496,NA,NA,NA,NA,"APSS","PEs","Dimensional","Self DQ","PA, BUL","N","no current and previous psychotic experience",1.22377543162212,0.300104592450338,2.14593128294867,"Y","Cohort study",NA,"N","Y",11,"Good","OR",1,"1112",2,"0.553956835",3,"Adjusted",0.221722470543265,"BL"
"435","Steenkamp et al.","2021b","Peer-reported bullying, rejection and hallucinatory experiences in childhood","Generation R Study","Cohort study","3 years","The Netherlands","2002-2006",925,NA,NA,"9.9",0.4,NA,NA,NA,NA,NA,NA,437,488,NA,NA,NA,NA,"YSR","HE","Dimensional","PEERS, teacher and mother坼reported bullying","BUL","N","no halllucination experience",0.148420005118273,0.00995033085316809,0.29266961396282,"Y","Cohort study",NA,"Y","Y",11,"Good","OR",1,"925",2,"0.472432432",3,"Adjusted",0.00520162126731281,"BL"
"436","Kelleher et al.","2008","Associations between childhood trauma, bullying and psychotic symptoms among a school-based adolescent sample","Challenging Times Study","Cross-sectional",NA,"Ireland",NA,211,"14",197,"range12-15",NA,NA,NA,NA,NA,NA,NA,99,112,10,4,89,108,"DSM-IV, K-SADS-PL","AHE, VHE","Dimensional","K-SADS","PA, SA, BUL","N","No psychotic symptoms",0.207014169384326,-0.916290731874155,1.34286480319255,"Y","Cross-sectional",NA,"N","Y",7,"Good","OR",1,"211",2,"0.469194313",2,"Adjusted",0.332139195362775,"BL"
"437","MacKie et al.","2013","Adolescent bullying, cannabis use and emerging psychotic experiences: a longitudinal general population study",NA,"Cohort study","2 years","UK",NA,937,"123 (elevated+increasing)",814,"13.6",NA,NA,NA,NA,NA,NA,NA,540,397,61,62,479,335,"Five questions were adapted from the NIMH Diagnostic Interview
Schedule","PE","Diagnostic","OBQ","BUL","N","low psychotic experience",0.757228634160284,0.374105746093732,1.14035152222684,"N","Cohort study",NA,"N","N",10,"Good","OR",1,"937",2,"0.576307364",1,"Unadjusted",0.0382088576011182,"BL"
"438","van Nierop et al.","2012","Phenotypically continuous with clinical psychosis, discontinuous in need for care: Evidence for an extended psychosis phenotype","NEMESIS-II","Cohort study",NA,"The Netherlands",NA,5712,"379",5333,"44.23",12.55,NA,NA,NA,NA,"26.72",13.83,2974,3667,NA,NA,NA,NA,"CIDI 3.0, SCID-I","PEs","Dimensional","Self-DQ","BUL","N","no psychotic experiences reported",0.958389454464509,0.718755116723688,1.19802379220533,"Y","Cross-sectional",NA,"N","N",6,"Fair","OR",1,"6641",1,"0.447824123",3,"Unadjusted",0.0149480986631824,"BL"
"439","Yamasaki et al.","2016","Dissociation mediates the relationship between peer victimization and hallucinatory experiences among early adolescents","TEAS","Cross-sectional",NA,"Japan","2012-2015",4277,"127",4150,"9.8",0.4,"9.78","0.416","9.75","0.436",NA,NA,2272,2005,68,59,2204,1946,"CBCL","Hallucination","Dimensional","OBQ","BUL","N","No presence of halluconations",0.639977831393247,0.198858808900798,1.0810968538857,"N","Cross-sectional",NA,"N","N",7,"Good","OR",1,"4277",2,"0.531213467",NA,"Unadjusted",0.0506523302802722,"BL"
"440","Wickham & Bentall","2016","Are Specific Early-Life Adversities Associated With Specific Symptoms of Psychosis?: A Patient Study Considering Just World Beliefs as a Mediator",NA,"Case-control",NA,"UK",NA,144,"72",72,NA,NA,"43.46","11.17","39.94","12.07",NA,NA,77,67,46,26,31,41,"Diagnozed","PS, SIP, SAD, SCZ, UNP","Diagnostic","CTQ","EA, PA, SA, EN, PN, BUL","N","no lifetime diagnosis of schizophrenia spectrum disorder, some controls with history of mental health disorder",0.874617648511012,0.273560956127224,1.4756743408948,"N","Case-control",NA,"Y","Y",7,"Good","Mean_SD",1,"144",1,"0.534722222",1,"Unadjusted",0.0940413232661755,"BL"
"441","Haidl et al.","2020","Validation of the Bullying Scale for Adults - Results of the PRONIA-study","PRONIA","Case-control",NA,"Multiple countries","2014-2016",375,"124",251,NA,NA,"28.53","5.77","28.19","6.37",NA,NA,171,204,75,49,96,155,"DSM-IV, SCID","ROP","Diagnostic","BSA","BUL","N","No past or current psychiatric dsorders, first degree relative with psychosis,",1.84050885565931,1.42865287783456,2.25236483348406,"Y","Case-control",NA,"N","N",7,"Good","Mean_SD",1,"375",1,"0.456",1,"Unadjusted",0.0441548694476211,"BL"
"442","Campbell & Morrison","2007","The relationship between bullying, psychotic-like experiences and appraisals in 14每16-year olds",NA,"Cross-sectional",NA,"UK",NA,371,"91",280,"14.8",0.7,NA,NA,NA,NA,NA,NA,162,210,NA,NA,NA,NA,"LSHS-R","AH","Dimensional","BVQ","BUL","N","not bullied",1.03593095503694,0.600527536473819,1.47133437360006,"N","Cross-sectional","CT VS NO CT","N","N",6,"Fair","Mean_SD",1,"372",2,"0.435483871",1,"Unadjusted",0.0493482238901634,"BL"
"443","Horrevorts et al.","2014","The relation between bullying and subclinical psychotic experiences and the influence of the bully climate of school classes",NA,"Cross-sectional",NA,"The Netherlands","2005",4582,"271",4311,"14.5",1.3,NA,NA,NA,NA,NA,NA,2289,1193,NA,NA,NA,NA,"CAPE","Psychotic experiences","Dimensional","Self-DQ","BUL","N",NA,0.0207852332535867,-0.201853127473208,0.243423593980382,"N","Cross-sectional","CT VS NO CT","N","N",7,"Fair","Mean_SD",1,"3482",2,"0.657380816",NA,"Unadjusted",0.0129029153652422,"BL"
"444","Strauss et al.","2018","Bullying victimization and perpetration in a community sample of youth with psychotic like experiences",NA,"Cross-sectional",NA,"USA",NA,1563,"269",1294,"14.14",2.07,"14.22","2.22","14.12","2.04",NA,NA,809,754,139,130,670,624,"YPARQ-B","PLEs","Dimensional","RPEQ","BUL","N","No PLEs",1.38137862240699,1.13828468184497,1.62447256296902,"N","Cross-sectional",NA,"N","N",6,"Fair","Mean_SD",1,"1563",2,"0.51759437",NA,"Unadjusted",0.0153828258897264,"BL"
"445","Furukawa et al.","1998","Childhood parental loss and schizophrenia: evidence against pathogenic but for some pathoplastic effects","The GLADS Project (The Group for Longitudinal Affective Disorders Study in Japan)","Case-control",NA,"Japan",NA,337,"225",112,"40.77",13.04,"33.03","11.4","56.31","15.84",NA,NA,166,181,114,111,52,70,"DSM-III, PISA-JAP","SCZ","Diagnostic","PISA-JAP","PL","N","no lifetime diagnoses of one ormore  DSM-III-R  disorders, relevant information about parental separation present",-1.51412773262978,-2.30258509299405,-0.755022584278033,"N","Case-control",NA,"N","N",5,"Fair","OR",1,"347",1,"0.478386167",1,"Unadjusted",0.155856265513289,"PLD"
"446","Giblin et al.","2004","Psychosocial correlates of late-onset psychosis: life experiences, cognitive schemas, and attitudes to ageing",NA,"Case-control",NA,"UK",NA,32,"14",18,"75.19",7.3,"77.58","6.6","73.33","7.8","73",NA,5,27,2,12,3,15,"Clinical acessment, DSM-IV","LOP","Diagnostic","LEQ devised by the authors","PL","N","o current mental health or cognitivedifficulties",1.16315080980568,-0.713349887877465,3.03543364040554,"N","Case-control",NA,"N","N",6,"Poor","OR",1,"32",1,"0.15625",3,"Unadjusted",0.914552396262365,"PLD"
"447","Morgan et al.","2007","Parental separation, loss and psychosis in different ethnic groups: A case-control study","AESOP","Case-control",NA,"UK",NA,781,"390",391,"33.9",11.68,"30.5","10.8","37.3","12.5",NA,NA,379,402,218,172,161,230,"SCAN, ICD-10","F20-F29, F30-F33","Diagnostic","MRCSS","PL, PS","N","negative score on The Psychosis Screening Questionnaire",1.16002091679675,0.482426149244293,1.83418018511201,"Y","Case-control",NA,"Y","Y",8,"Good","OR",1,"781",1,"0.485275288",1,"Unadjusted",0.118911324284455,"PLD"
"448","Ma et al.","2018","The association of adverse family experience in childhood with adult schizophrenia:a case-control study",NA,"Case-control",NA,"China","2016",494,"247",247,NA,NA,"35.73","10.7","36.42","10.83",NA,NA,282,212,141,106,141,106,"ICD-10","SCZ","Diagnostic","CACE","CT, AB, NG, PL","Y","No diagnosis of mental disorders",2.46385324059017,1.44220199305819,3.48461898980123,"N","Case-control",NA,"N","N",8,"Good","OR",2,"494",1,"0.570850202",1,"Unadjusted",0.271466783930189,"PLD"
"449","Misra et al.","2019","Early Parental Death and Risk of Psychosis in Offspring: A Six-Country Case-Control Study","EU-GEI","Case-control",NA,"Multiple countries","2010-2015",2549,"1072",1477,"34",12.2,"31.3","10.6","36.1","12.9",NA,NA,1356,1193,660,412,696,781,"ICD-10 codes: F20-F33","FEP","Diagnostic","CECA-Q","PL","N","randomly selected from same area and no psychotic disorders",0.314810739840034,0.0861776962410524,0.542324290825362,"Y","Case-control",NA,"Y","Y",8,"Good","OR",1,"2549",1,"0.531973323",1,"Unadjusted",0.0135405635510505,"PLD"
"450","Kasznia et al.","2021","The Impact of Adverse Childhood Experiences on Coping Strategies in Schizophrenia Spectrum Disorders: A Case-Control Study",NA,"Case-control",NA,"Poland","2016-2020",183,"127",56,NA,NA,"39.1","13.8","38.3","6.8",NA,NA,85,98,61,66,24,32,"DSM-IV","SCZ","Diagnostic","CECA-Q","CT, PA, SA, PL, AN, NG","Y","Negative family history of mood and psychotic disorders in first- and second-degree relatives",0.451075619360217,-0.287682072451781,1.19088756477728,"N","Case-control",NA,"N","N",7,"Good","OR",2,"183",1,"0.464480874",1,"Unadjusted",0.142269378132528,"PLD"
"451","Moore et al.","2012","Comorbid personality traits in schizophrenia: Prevalence and clinical characteristics","ASRB","Case-control",NA,"Australia","2006-2010",1121,"549",572,NA,NA,"39,5",NA,"41,8",NA,NA,NA,436,685,181,368,255,317,"DSM-IV, ICD-10","SCZ, SAD","Diagnostic","CAQ","PA, EA, EN, SA, PL","N","without a personal or family history of psychosis or bipolar 1 disorder",0.371563556432483,0.122217632724249,0.62057648772511,"Y","Case-control",NA,"N","Y",8,"Good","OR",1,"1121",1,"0.388938448",1,"Adjusted",0.0161626372057065,"PLD"
"452","Saha et al.","2011","The association between trauma and delusional-like experiences","SMHWB","Cross-sectional",NA,"Australia","2007",8773,"776",7997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI","DLE","Diagnostic","CIDI","CT, PA, SA, PL","Y","No delusion-like experiences",0.56531380905006,-0.0100503358535015,1.14740245283754,"N","Cross-sectional",NA,"Y","Y",8,"Good","OR",1,"#VALUE!",2,NA,2,"Adjusted",0.0871835275698064,"PLD"
"453","van Nierop et al.","2014","Psychopathological Mechanisms Linking Childhood Traumatic Experiences to Risk of Psychotic Symptoms: Analysis of a Large, Representative Population-Based Sample","NEMESIS-I, NEMESIS-II","Cohort study",NA,"The Netherlands",NA,13722,"2359",11363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI, SCID-I","PEs","Diagnostic","NEMESIS survey(own)","CT, EN, PA, EA, SA, PL","Y",NA,-0.261364764134408,-0.755022584278033,0.246860077931526,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",1,"#VALUE!",NA,NA,NA,"Adjusted",0.0653223180989765,"PLD"
"454","Sun et al.","2017","Psychotic-like experiences and correlation with childhood trauma and other socio-demographic factors: A cross-sectional survey in adolescence and early adulthood in China",NA,"Cross-sectional",NA,"China",NA,8729,NA,NA,"14.43",2.77,NA,NA,NA,NA,NA,NA,3949,4773,NA,NA,NA,NA,"CAPE positive subscale","PLEs","Dimensional","THQ","CT, PL, PS, PD","Y","no exposed to childhood trauma",-0.150822889734584,-0.579818495252942,0.285178942233663,"N","Cross-sectional",NA,"Y","Y",7,"Good","OR",2,"8722",2,"0.452763128",NA,"Adjusted",0.0486919881597767,"PLD"
"455","Agid et al.","1999","Environment and vulnerability to major psychiatric illness: a case control study of early parental loss in major depression, bipolar disorder and schizophrenia",NA,"Case-control",NA,"Israel",NA,152,"76",76,"42.1",12.86,"42.5","12.3","41.7","13.4","20.7",8,72,80,36,40,36,40,"SCID","SCZ","Diagnostic","HUD-Q","CT, PL, PS","Y","NR",1.1138797607989,-0.0786358397923299,2.30639536139013,"N","Case-control",NA,"N","N",7,"Good","OR",1,"152",1,"0.473684211",1,"Unadjusted",0.370182595182595,"PLD"
"456","Rubino et al.","2009","Early adverse experiences in schizophrenia and unipolar depression",NA,"Case-control",NA,"Italy",NA,483,"173",310,"36.97",11.92,"36.2","11.2","37.4","12.3",NA,NA,246,237,111,62,135,175,"DSM-IV, SCID-I","SCZ","Diagnostic","AQ","CT, PA, EA, SA, PL, PS","Y","NR",0.522485774283391,-0.317737143985562,1.36270869255234,"N","Case-control",NA,"N","N",7,"Good","OR",1,"483",1,"0.50931677",1,"Unadjusted",0.183770968446584,"PLD"
"457","Trauelsen et al.","2015","Childhood adversity specificity and dose-response effect in non-affective first-episode psychosis","OPUS","Case-control",NA,"Denmark","2011-2014",202,"101",101,NA,NA,"22.5 (media)","18-34","22 (median)","18-33",NA,NA,150,52,75,26,75,26,"ICD-10","F20-29, except F21","Diagnostic","CTQ","CT, SA, PA, EA, PN, EN, PL, PS","Y","no any previous psychiatric disorder;gender, age and parental education matched with patients",0.242119452773216,-0.886446399644174,1.3706853051906,"N","Case-control",NA,"Y","Y",5,"Fair","OR",1,"202",1,"0.742574257",1,"Unadjusted",0.331544378186846,"PLD"
"458","Trotta et al.","2016","Interplay between Schizophrenia Polygenic Risk Score and Childhood Adversity in First-Presentation Psychotic Disorder: A Pilot Study","GAP study","Case-control",NA,"UK",NA,541,"285",256,NA,NA,"28.9","9.3","29.2","9.9",NA,NA,309,232,172,113,137,119,"ICD-10, SCAN","FEP","Diagnostic","CECA-Q","CT, PA, SA, PL","Y","PSQ",0.675128675057267,0.0524222977627733,1.29783505235176,"N","Case-control",NA,"N","N",6,"Good","OR",1,"541",1,"0.57116451",1,"Unadjusted",0.100937950937951,"PLD"
"459","Bruni et al.","2018","Childhood adversities are different in Schizophrenic Spectrum Disorders, Bipolar Disorder and Major Depressive Disorder",NA,"Case-control",NA,"Italy","2015-2017",176,"91",85,"41.94",11.74,"38.8","11.2","45.3","12.3","23.55",6.91,95,81,55,36,40,45,"DSM-IV-TR (SCID-I)","SSD","Diagnostic","CECA-Q","CT, PA, EA, EN, SA, PN, PL, NG","Y","no lifetime presence of schizophrenia spectrum disorder or affective disorders",1.56861591791385,0.541896222313662,2.59533561351403,"N","Case-control",NA,"N","N",9,"Good","OR",1,"176",1,"0.539772727",1,"Unadjusted",0.274404761904762,"PLD"
"460","Ayesa-Arriola et al.","2020","The synergetic effect of childhood trauma and recent stressful events in psychosis: associated neurocognitive dysfunction","PAFIP","Case-control",NA,"Spain","2001-2017",342,"290",52,NA,NA,"30.46","9.65","28.25","7.83","29.39",9.36,186,156,157,133,29,23,"DSM-IV","FEP","Diagnostic","CTES","CT, PA, SA, PL, PD","Y","no current or past history of psychiatric, neurological, or general medical illnesses",1.31836025098118,0.115716479876965,2.5210040220854,"N","Case-control",NA,"N","N",9,"Good","OR",1,"342",1,"0.543859649",1,"Unadjusted",0.376497303252751,"PLD"
"461","Mansueto & Faravelli","2022","Stressful life events and psychosis: Gender differences","PSI坼FIELDS (Part of the Factors in Early Life, Diagnoses, and Symptoms project)","Case-control",NA,"Italy",NA,234,"78",156,NA,NA,"43.07","10.9","43.08","13.08",NA,NA,102,132,34,44,68,88,"DSM-IV","SPD","Diagnostic","CECA-Q, A semi坼structured interview","CT, PA, SA, PL, NG","Y","general population from the same area and no cogitive impairment",0.212174519943636,-0.561560869425962,0.985909909313234,"N","Case-control",NA,"N","N",8,"Good","OR",1,"234",1,"0.435897436",1,"Unadjusted",0.155837789661319,"PLD"
"462","Cullen et al.","2014","Daily stressors and negative life events in childrenat elevated risk of developing schizophrenia",NA,"Cohort study",NA,"UK",NA,76,"34",42,"13.01",1.05,"12.9","1.1","13.1","1",NA,NA,44,32,24,10,20,22,"DISC","PLEs","Dimensional","NLEM","CT, PL, PS","Y","No history of psychotic disorders",0.367724780125317,-0.549540758514431,1.28499031876507,"N","Cross-sectional",NA,"N","N",6,"Fair","OR",1,"76",2,"0.578947368",NA,"Unadjusted",0.219017094017094,"PLD"
"463","McGrath et al.","2017","The association between childhood adversities and subsequent first onset of psychotic experiences: a cross-national analysis of 23,998 respondents from 17 countries","the WHO World Mental Health (WMH) surveys","Cross-sectional",NA,"Multiple countries",NA,23998,"1661",22337,"18-99",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"CIDI-Psychosis module","Hallucination, delusion","Diagnostic","CIDI","CT, PA, SA, PL, PD, NG","Y",NA,0.0778541405834973,-0.0647044340867957,0.22041271525379,"N","Cross-sectional",NA,"N","N",5,"Fair","OR",1,"#VALUE!",1,NA,NA,"Unadjusted",0.00529022990733692,"PLD"
"464","Morgan et al.","2007","Parental separation, loss and psychosis in different ethnic groups: A case-control study","AESOP","Case-control",NA,"UK",NA,781,"390",391,"33.9",11.68,"30.5","10.8","37.3","12.5",NA,NA,379,402,218,172,161,230,"SCAN, ICD-10","F20-F29, F30-F33","Diagnostic","MRCSS","PL, PS","N","negative score on The Psychosis Screening Questionnaire",1.21194097397511,0.879626747502564,1.54756250871601,"Y","Case-control",NA,"Y","Y",8,"Good","OR",1,"781",1,"0.485275288",1,"Unadjusted",0.0290333572670105,"PS"
"465","Ajnakina et al.","2014","Role of environmental confounding in the association between FKBP5 and first-episode psychosis","GAP study","Case-control",NA,"UK",NA,509,"291",218,"range: 18-65",NA,NA,NA,NA,NA,NA,NA,285,224,175,116,110,108,"ICD-10","Non-organic psychosis","Diagnostic","CECA-Q","PS","N","No psychotic symptoms",0.774727167552368,0.405465108108164,1.1314021114911,"Y","Case-control",NA,"Y","Y",8,"Good","OR",1,"509",1,"0.559921415",1,"Unadjusted",0.0342945994429793,"PS"
"466","Lindgren et al.","2017","Childhood adversities and clinical symptomatology in first-episode psychosis","Helsinki Psychosis Study","Case-control",NA,"Finland","2010-2016",126,"75",51,"26.6",5.842,"26.4","6","26.9","5.6",NA,NA,83,43,49,26,34,17,"DSM-IV, BPRS 4.0","FEP","Diagnostic","Self-DQ","CT, BUL, PD","Y","Psychotic disorders were an exclusion criterion, as were any conditions preventing MRI, and chronic neurological or endocrinological diseases.",0.00995033085316809,-0.798507696217772,0.828551817566148,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"126",1,"0.658730159",3,"Unadjusted",0.172279952454366,"PS"
"467","LoPilato et al.","2019","Impact of childhood adversity on corticolimbic volumes in youth at clinical high-risk psychosis clinical high-risk for psychosis","NAPLS-2","Case-control",NA,"USA","2009 - 2011",702,"486",216,NA,NA,"18.85","4.2","20.07","4.6",NA,NA,401,301,289,197,112,104,"SIPS high risk status for psychotic symptoms","PEs","Dimensional","Documentation of Trauma Form, a semi-structured interview","CT, PA, EA, EN, SA, BUL, PS","Y","no risk and no psychotic symptoms after screening",1.35840915763035,0.412109650826833,2.30058309032337,"N","Case-control",NA,"N","N",6,"Fair","OR",1,"702",1,"0.571225071",2,"Unadjusted",0.23208636581658,"PS"
